stocksymbol,stock_name,avg
s21941,Stock_21941,169.0000000000000000
s324,Stock_324,342.0000000000000000
s48348,Stock_48348,84.0000000000000000
s41277,Stock_41277,298.0000000000000000
s17700,Stock_17700,141.0000000000000000
s63012,Stock_63012,450.0000000000000000
s10,Stock_10,393.5000000000000000
s18165,Stock_18165,241.0000000000000000
s59309,Stock_59309,299.5000000000000000
s34363,Stock_34363,496.0000000000000000
s37774,Stock_37774,134.0000000000000000
s34468,Stock_34468,283.0000000000000000
s19523,Stock_19523,340.0000000000000000
s53970,Stock_53970,60.0000000000000000
s36792,Stock_36792,385.3333333333333333
s3376,Stock_3376,126.5000000000000000
s28754,Stock_28754,190.0000000000000000
s14545,Stock_14545,170.5000000000000000
s43110,Stock_43110,270.0000000000000000
s50876,Stock_50876,278.5000000000000000
s47923,Stock_47923,126.0000000000000000
s52048,Stock_52048,403.0000000000000000
s22858,Stock_22858,100.5000000000000000
s38247,Stock_38247,154.0000000000000000
s1410,Stock_1410,257.0000000000000000
s53659,Stock_53659,171.0000000000000000
s5423,Stock_5423,309.0000000000000000
s64988,Stock_64988,453.0000000000000000
s34312,Stock_34312,465.0000000000000000
s1904,Stock_1904,353.0000000000000000
s7373,Stock_7373,59.0000000000000000
s60315,Stock_60315,316.0000000000000000
s4268,Stock_4268,175.0000000000000000
s36256,Stock_36256,444.0000000000000000
s22232,Stock_22232,209.0000000000000000
s24053,Stock_24053,226.4000000000000000
s37160,Stock_37160,123.0000000000000000
s46,Stock_46,371.0000000000000000
s17171,Stock_17171,405.0000000000000000
s27408,Stock_27408,198.0000000000000000
s26864,Stock_26864,395.0000000000000000
s56445,Stock_56445,290.0000000000000000
s7769,Stock_7769,146.0000000000000000
s44794,Stock_44794,272.8000000000000000
s64797,Stock_64797,66.2500000000000000
s23356,Stock_23356,239.0000000000000000
s62712,Stock_62712,91.0000000000000000
s11907,Stock_11907,159.0000000000000000
s22163,Stock_22163,265.0000000000000000
s10453,Stock_10453,196.0000000000000000
s37771,Stock_37771,304.5000000000000000
s24670,Stock_24670,379.6666666666666667
s22237,Stock_22237,220.5000000000000000
s44155,Stock_44155,109.6000000000000000
s41931,Stock_41931,394.5000000000000000
s29253,Stock_29253,273.0000000000000000
s13020,Stock_13020,188.0000000000000000
s4875,Stock_4875,189.0000000000000000
s25092,Stock_25092,286.6666666666666667
s20231,Stock_20231,222.2500000000000000
s62979,Stock_62979,489.7500000000000000
s11510,Stock_11510,356.5000000000000000
s62591,Stock_62591,483.0000000000000000
s8292,Stock_8292,398.0000000000000000
s48119,Stock_48119,295.0000000000000000
s56235,Stock_56235,82.0000000000000000
s29495,Stock_29495,207.0000000000000000
s11435,Stock_11435,491.0000000000000000
s51366,Stock_51366,387.5000000000000000
s69965,Stock_69965,293.0000000000000000
s61921,Stock_61921,71.0000000000000000
s6058,Stock_6058,335.0000000000000000
s186,Stock_186,115.5000000000000000
s18208,Stock_18208,428.5000000000000000
s12571,Stock_12571,147.0000000000000000
s46558,Stock_46558,109.5000000000000000
s66077,Stock_66077,210.3333333333333333
s36056,Stock_36056,216.0000000000000000
s12588,Stock_12588,248.0000000000000000
s35139,Stock_35139,232.3333333333333333
s39015,Stock_39015,175.0000000000000000
s66271,Stock_66271,418.0000000000000000
s64655,Stock_64655,411.0000000000000000
s10816,Stock_10816,82.0000000000000000
s15523,Stock_15523,339.0000000000000000
s39045,Stock_39045,268.0000000000000000
s11198,Stock_11198,334.5000000000000000
s56290,Stock_56290,277.6666666666666667
s32374,Stock_32374,210.3333333333333333
s55457,Stock_55457,105.0000000000000000
s52515,Stock_52515,393.0000000000000000
s59399,Stock_59399,183.0000000000000000
s57306,Stock_57306,361.3333333333333333
s26207,Stock_26207,270.0000000000000000
s69106,Stock_69106,135.2500000000000000
s63837,Stock_63837,161.0000000000000000
s22986,Stock_22986,393.0000000000000000
s3385,Stock_3385,201.0000000000000000
s30189,Stock_30189,243.0000000000000000
s59831,Stock_59831,202.0000000000000000
s20035,Stock_20035,60.0000000000000000
s37751,Stock_37751,223.0000000000000000
s59107,Stock_59107,330.6666666666666667
s39732,Stock_39732,125.5000000000000000
s27248,Stock_27248,113.5000000000000000
s11777,Stock_11777,303.0000000000000000
s200,Stock_200,236.3333333333333333
s48834,Stock_48834,50.0000000000000000
s64414,Stock_64414,492.5000000000000000
s38033,Stock_38033,255.0000000000000000
s46755,Stock_46755,82.0000000000000000
s43085,Stock_43085,57.0000000000000000
s8528,Stock_8528,272.6666666666666667
s229,Stock_229,102.5000000000000000
s63729,Stock_63729,439.0000000000000000
s8648,Stock_8648,424.0000000000000000
s65126,Stock_65126,151.0000000000000000
s46695,Stock_46695,318.0000000000000000
s60865,Stock_60865,194.0000000000000000
s64448,Stock_64448,252.5000000000000000
s64105,Stock_64105,118.0000000000000000
s42015,Stock_42015,337.0000000000000000
s132,Stock_132,206.6666666666666667
s65653,Stock_65653,89.5000000000000000
s53123,Stock_53123,381.0000000000000000
s39982,Stock_39982,470.0000000000000000
s35572,Stock_35572,205.0000000000000000
s53456,Stock_53456,398.5000000000000000
s54924,Stock_54924,73.0000000000000000
s25607,Stock_25607,444.6666666666666667
s27987,Stock_27987,431.6666666666666667
s3024,Stock_3024,480.0000000000000000
s15113,Stock_15113,92.0000000000000000
s66891,Stock_66891,69.0000000000000000
s58345,Stock_58345,356.5000000000000000
s25442,Stock_25442,81.0000000000000000
s7356,Stock_7356,443.0000000000000000
s10192,Stock_10192,416.6666666666666667
s11034,Stock_11034,139.5000000000000000
s66274,Stock_66274,333.0000000000000000
s35225,Stock_35225,239.5000000000000000
s52997,Stock_52997,129.0000000000000000
s50287,Stock_50287,148.6666666666666667
s5411,Stock_5411,422.3333333333333333
s53756,Stock_53756,184.0000000000000000
s27161,Stock_27161,161.5000000000000000
s38843,Stock_38843,228.0000000000000000
s8025,Stock_8025,126.0000000000000000
s56071,Stock_56071,237.0000000000000000
s4691,Stock_4691,120.0000000000000000
s42886,Stock_42886,233.5000000000000000
s41761,Stock_41761,331.5000000000000000
s58066,Stock_58066,361.6666666666666667
s22582,Stock_22582,62.0000000000000000
s11140,Stock_11140,251.5000000000000000
s41153,Stock_41153,84.0000000000000000
s59178,Stock_59178,414.0000000000000000
s29211,Stock_29211,78.0000000000000000
s6410,Stock_6410,261.3333333333333333
s69221,Stock_69221,465.2500000000000000
s22947,Stock_22947,97.0000000000000000
s10622,Stock_10622,244.0000000000000000
s30443,Stock_30443,197.0000000000000000
s54262,Stock_54262,394.0000000000000000
s53711,Stock_53711,299.5000000000000000
s18424,Stock_18424,347.5000000000000000
s62918,Stock_62918,452.0000000000000000
s45201,Stock_45201,423.0000000000000000
s62552,Stock_62552,278.0000000000000000
s44907,Stock_44907,137.0000000000000000
s19817,Stock_19817,344.0000000000000000
s61155,Stock_61155,196.0000000000000000
s15218,Stock_15218,322.2500000000000000
s52481,Stock_52481,458.0000000000000000
s60140,Stock_60140,380.2500000000000000
s34773,Stock_34773,341.0000000000000000
s62189,Stock_62189,222.6000000000000000
s45713,Stock_45713,395.0000000000000000
s31386,Stock_31386,103.0000000000000000
s65222,Stock_65222,435.0000000000000000
s28324,Stock_28324,409.3333333333333333
s67993,Stock_67993,405.5000000000000000
s2765,Stock_2765,122.0000000000000000
s9096,Stock_9096,463.5000000000000000
s41714,Stock_41714,242.5000000000000000
s30638,Stock_30638,212.0000000000000000
s49479,Stock_49479,299.0000000000000000
s6709,Stock_6709,266.0000000000000000
s59996,Stock_59996,63.0000000000000000
s34944,Stock_34944,362.0000000000000000
s7385,Stock_7385,110.0000000000000000
s62560,Stock_62560,222.0000000000000000
s10010,Stock_10010,143.0000000000000000
s44286,Stock_44286,270.0000000000000000
s32425,Stock_32425,397.5000000000000000
s68232,Stock_68232,266.0000000000000000
s2182,Stock_2182,414.0000000000000000
s65972,Stock_65972,185.0000000000000000
s22058,Stock_22058,131.0000000000000000
s35592,Stock_35592,386.5000000000000000
s50968,Stock_50968,326.0000000000000000
s11338,Stock_11338,184.5000000000000000
s67400,Stock_67400,154.0000000000000000
s29624,Stock_29624,234.0000000000000000
s65092,Stock_65092,251.0000000000000000
s18838,Stock_18838,231.0000000000000000
s13854,Stock_13854,351.5000000000000000
s61337,Stock_61337,365.0000000000000000
s65122,Stock_65122,291.0000000000000000
s61400,Stock_61400,423.5000000000000000
